	DRR127481	DRR127515	DRR127517	DRR127532	DRR127649	DRR127669	DRR127707	DRR127720	DRR127762	DRR127767	DRR162778	DRR171461	DRR171469	DRR171475	DRR171477	DRR171483	DRR171484	DRR171495	DRR171496	DRR171497	DRR171501	DRR171505	DRR171526	DRR171528	DRR171529	DRR171551	DRR171555	DRR171559	DRR171574	DRR171583	DRR171585	DRR171605	DRR171612	DRR171618	DRR171622	DRR171628	DRR171636	DRR171651	DRR171653	DRR171656	DRR171662	DRR171668	DRR171669	DRR171678	DRR171680	DRR171682	DRR171683	DRR171709	DRR171716	DRR171729	DRR171732	DRR171750	DRR171764	DRR171768	DRR171823	DRR171835	DRR171850	DRR171871	DRR171874	DRR171881	DRR171885	DRR171905	DRR171916	DRR171923	DRR171925	DRR171930	DRR171943	DRR171947	DRR171949	DRR171955	DRR171969	DRR171971	DRR171975	DRR171983	DRR171984	DRR172004	DRR172006	DRR172011	DRR172018
GCA_000436555.1_00341	1.153124	1.153479	0.836239	1.463761	1.418767	1.435348	1.542840	1.491926	1.300180	1.387046	1.549252	1.612332	1.565847	1.756489	1.185861	1.525852	1.047125	1.248008	0.989599	1.197157	1.390483	1.230695	1.398849	1.347558	1.346496	1.201983	0.993945	1.490240	1.475987	1.023673	1.345142	1.491371	1.042137	1.460488	1.144017	2.407762	1.114646	1.325284	1.945913	1.353331	1.069112	1.552293	1.573886	1.334813	1.587973	1.515563	1.078439	1.343417	0.862969	0.624005	1.404815	1.184408	1.089085	0.912358	1.328520	1.787028	1.037057	1.342258	1.479290	1.022983	1.222297	1.411097	1.374760	1.295232	1.313947	1.562859	1.209899	1.888306	0.813301	0.923693	1.023751	1.250017	1.223620	1.116480	1.228184	1.764628	2.097159	1.589639	1.350874
GCA_000436555.1_00385	1.146717	1.070454	0.936493	1.675791	1.158652	1.428827	2.043703	1.173449	1.032651	1.389814	1.386380	1.499703	0.365878	1.444092	1.255083	1.828942	1.300351	1.730174	1.345521	1.040418	1.599432	1.065542	1.398753	1.212214	1.470702	1.382999	1.321574	1.225103	1.826854	0.765784	1.461651	1.341748	1.520565	1.767878	1.296679	0.740142	1.220078	1.154407	2.209298	1.618562	1.301533	1.847505	1.583808	1.176436	1.347397	1.517883	1.177050	1.434995	1.186958	1.075685	1.422568	1.320731	1.104080	1.068695	1.395075	1.146111	1.243410	1.274069	1.473142	1.490766	1.422008	1.342496	1.519122	0.772059	1.335510	1.245819	1.114773	1.366255	1.276998	0.933601	1.207572	1.194990	1.173342	0.883065	1.058886	0.924715	1.926280	1.720952	1.286387
GCA_000436555.1_01774	1.173711	0.912931	1.122647	0	0	1.080457	0	0.121143	0	0	1.314651	0	0.702906	0	0.009264	0.032720	0.918479	0	0	0	0.260769	0	1.262658	0.311741	0	1.302441	0	1.405255	0	0.745029	1.068296	0	0	1.453516	1.360910	0	1.130807	0	0	0	0	0	0	0.170934	0	0	0	1.028493	0	0.939216	0.330816	0	1.125174	0.913402	1.534249	0	1.028989	1.227582	0	0	1.277064	1.241981	1.137651	0	1.138082	0	0	0	0	0.092544	0	0	0	0	0	0	0	1.075969	1.101183
GCA_000436555.1_02222	1.102186	1.007406	0.918569	1.394590	1.686355	1.412539	1.612134	1.206596	1.202188	1.122640	1.405690	1.337432	0.622286	1.272051	1.276885	1.868832	0.740603	1.142752	1.189220	1.229938	1.416591	1.453353	1.340561	1.396969	1.446387	1.444687	1.544960	1.322678	1.491875	1.063379	1.459212	1.283861	1.585217	1.725491	1.306540	0.895711	1.293258	1.721748	1.900761	0.859681	0.596182	1.319479	1.750856	1.471702	1.376333	1.438876	0.999089	1.024880	1.223264	1.204014	1.364415	1.314395	0.962702	0.902500	1.179152	1.207714	1.639891	1.237948	1.410640	1.508316	1.377556	1.365300	1.449335	0.886298	1.119524	1.041791	1.301358	1.551876	1.072807	0.775058	1.646015	1.223022	1.091066	0.714820	1.112069	1.017178	1.926169	1.775064	1.276704
GCA_000436555.1_02908	1.170913	1.426522	0.980236	1.494426	1.504011	1.243931	1.547810	1.352673	0.978907	1.465025	1.298755	1.251159	0.539887	1.179658	1.050257	1.116220	0.893936	1.264415	0.966523	1.128277	1.326517	1.196388	1.266698	1.239615	1.358486	1.319148	1.120043	1.495896	1.207164	0.832875	1.433930	1.344358	0.794411	1.501382	1.352325	2.433317	0.937457	1.566567	1.420930	1.798929	0.966287	1.030081	1.270645	0.905222	1.271643	1.397442	1.427636	1.191213	1.114787	0.902740	0	1.255364	1.091353	1.036102	1.110981	0.725393	1.020267	1.180122	1.266888	1.346970	1.359902	0	1.171781	0.994732	1.225990	1.464263	1.534859	1.471016	0.933640	0.786663	1.386628	1.172851	0.973349	1.086214	0.873416	1.620147	1.699622	1.518697	1.196253
GCA_000436555.1_04085	1.085075	0.814910	0.708554	1.023464	1.200015	0	0	0.956412	0.743016	1.264961	0.964302	0.683598	1.057535	1.049797	0.715821	1.143581	1.154206	0.489124	1.179060	0.915215	1.143320	1.086702	0	1.061913	0	1.127876	0.935285	1.143536	1.023255	0	0.845745	1.303793	0.973881	1.059799	1.000185	0.871296	0.935890	1.031228	1.137115	1.104873	1.411803	1.261744	1.228830	0.844194	1.125822	1.033738	1.016822	0	0.851164	0.823525	1.052458	1.079029	0.723165	0.861233	0	0.542334	1.281291	0.789354	1.041619	1.005625	0	1.073487	0	0.958672	0.741358	1.324634	0.499017	0.988053	0.932979	0.820588	1.063809	1.090173	1.058961	0.306166	1.055888	0.560550	0.816326	0.816100	0.923871
GCA_900066665.1_00642	1.022846	0.974654	1.076045	1.859198	1.394169	1.185594	1.007613	1.129994	0.744052	0.627772	1.198371	1.127082	0.785443	1.248646	1.072798	1.201153	1.219281	1.055108	1.133510	0.925945	1.191515	1.024360	1.099570	1.289051	1.203528	1.212558	1.078820	1.267905	1.122908	0.646048	1.054314	0.717836	0.765928	1.362743	1.159897	0.820436	1.049120	1.304959	2.013893	1.142693	1.000935	1.155754	1.354523	0.987732	1.238298	1.180877	0.982041	1.462273	1.097640	0.865929	0.978441	1.115227	1.056274	0.992351	0.948111	0.708777	1.117377	1.184620	1.308391	1.242212	1.260728	1.080114	0.987445	0.698858	0.924263	0.907992	0.011464	1.377571	0.713444	0.878744	1.225943	1.056359	0.979357	0.617229	1.051710	0.798676	1.823779	1.525144	1.036475
GCA_900555825.1_00317	0	0	0	0	0	0	0	0	0	0.239117	0	0	0.701907	0	0	0	0	0.037894	1.227159	0	0	0.127682	0	0	0	0	0	0.115065	0	0	0	0.122932	0	0	0	1.605485	0	0	1.460740	0	0	1.039973	0	0	0	0.012353	0.147241	0.269402	0	0	0	0.213714	0	0	0	0	0.799495	0	0	0	0	0	0	0	0	0.355543	0	0	0	0	0	1.178628	0	0	0	0.238120	0	0	0
GCA_900555825.1_01275	0	0	0	0	0	0	0	0.003539	0	0	0.000424	0	0	0	0.018454	0	0	0	1.048672	0	0	1.006568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.709879	0	0	1.012734	0	0	0	0	0	0	0	0	0.001315	0	0	0	0.008494	0	0	0	0	0	0	0	0	0	0	0.000306	0	0.002873	0	0	0	1.086188	0	0	0.000830	0	0	0	0
GCA_900555825.1_03030	1.160694	0	0	0	0	0	1.426768	0.974443	0	0	0	0	0	0	0	1.476146	0	0.558788	0	0	0	0	0	0.004960	0	0	0	0	0	0	0.932742	0	0	0	0	0.740296	0	0	1.367336	0	0	1.072334	0	0	0	0	0.019165	0	0	0	0	0	0	0	0	0	0	1.254520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.680085	0	0	0	0	1.300557
