K00001	E1.1.1.1	alcohol dehydrogenase
K00002	AKR1A1	alcohol dehydrogenase (NADP+)
K00003	hom	homoserine dehydrogenase
K00004	BDH	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase
K00005	gldA	glycerol dehydrogenase
K00007	dalD	D-arabinitol 4-dehydrogenase
K00008	SORD	L-iditol 2-dehydrogenase
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00012	UGDH	UDPglucose 6-dehydrogenase
K00013	hisD	histidinol dehydrogenase
K00014	aroE	shikimate dehydrogenase
K00015	gyaR	glyoxylate reductase
K00016	LDH	L-lactate dehydrogenase
K00018	hprA	glycerate dehydrogenase
K00019	BDH1	3-hydroxybutyrate dehydrogenase
K00020	HIBADH	3-hydroxyisobutyrate dehydrogenase
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH)
K00023	phbB	acetoacetyl-CoA reductase
K00024	mdh	malate dehydrogenase
K00027	ME2	malate dehydrogenase (oxaloacetate-decarboxylating)
K00028	E1.1.1.39	malate dehydrogenase (decarboxylating)
K00029	E1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	IDH3	isocitrate dehydrogenase (NAD+)
K00031	IDH1	isocitrate dehydrogenase
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase
K00033	PGD	6-phosphogluconate dehydrogenase
K00034	gdh	glucose 1-dehydrogenase
K00036	G6PD	glucose-6-phosphate 1-dehydrogenase
K00038	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase
K00039	rbtD	ribitol 2-dehydrogenase
K00040	uxuB	fructuronate reductase
K00041	uxaB	tagaturonate reductase
K00042	garR	2-hydroxy-3-oxopropionate reductase
K00045	E1.1.1.67	mannitol 2-dehydrogenase
K00046	idnO	gluconate 5-dehydrogenase
K00048	fucO	lactaldehyde reductase
K00052	leuB	3-isopropylmalate dehydrogenase
K00053	ilvC	ketol-acid reductoisomerase
K00054	mvaA	hydroxymethylglutaryl-CoA reductase
