KOID	Category
ko00220	Amino acid metabolism
ko00250	Amino acid metabolism
ko00260	Amino acid metabolism
ko00270	Amino acid metabolism
ko00280	Amino acid metabolism
ko00300	Amino acid metabolism
ko00310	Amino acid metabolism
ko00330	Amino acid metabolism
ko00340	Amino acid metabolism
ko00400	Amino acid metabolism
ko00010	Carbohydrate metabolism
ko00020	Carbohydrate metabolism
ko00030	Carbohydrate metabolism
ko00040	Carbohydrate metabolism
ko00051	Carbohydrate metabolism
ko00052	Carbohydrate metabolism
ko00053	Carbohydrate metabolism
ko00500	Carbohydrate metabolism
ko00520	Carbohydrate metabolism
ko00620	Carbohydrate metabolism
ko00630	Carbohydrate metabolism
ko00640	Carbohydrate metabolism
ko00650	Carbohydrate metabolism
ko02030	Cell motility
ko02040	Cell motility
ko02024	Cellular community - prokaryotes
ko02025	Cellular community - prokaryotes
ko02026	Cellular community - prokaryotes
ko05111	Cellular community - prokaryotes
ko01502	Drug resistance: antimicrobial
ko00190	Energy metabolism
ko00195	Energy metabolism
ko00680	Energy metabolism
ko00710	Energy metabolism
ko00720	Energy metabolism
ko00910	Energy metabolism
ko00920	Energy metabolism
ko03018	"Folding, sorting and degradation"
ko00540	Glycan biosynthesis and metabolism
ko00541	Glycan biosynthesis and metabolism
ko00550	Glycan biosynthesis and metabolism
ko05171	Infectious disease: viral
ko00121	Lipid metabolism
ko00561	Lipid metabolism
ko00564	Lipid metabolism
ko02010	Membrane transport
ko02060	Membrane transport
ko00130	Metabolism of cofactors and vitamins
ko00730	Metabolism of cofactors and vitamins
ko00740	Metabolism of cofactors and vitamins
ko00760	Metabolism of cofactors and vitamins
ko00770	Metabolism of cofactors and vitamins
ko00790	Metabolism of cofactors and vitamins
ko00860	Metabolism of cofactors and vitamins
ko00450	Metabolism of other amino acids
ko00470	Metabolism of other amino acids
ko00900	Metabolism of terpenoids and polyketides
ko00230	Nucleotide metabolism
ko00240	Nucleotide metabolism
ko03030	Replication and repair
ko03410	Replication and repair
ko02020	Signal transduction
ko03020	Transcription
ko00970	Translation
ko03008	Translation
ko03010	Translation
