MB_ID	MB_Name	MatchName	HMDB_ID	Type	Pathway
C00099	beta-Ala	beta-Alanine	HMDB0000056	Down	Histidine metabolism
C00386	Carnosine	Carnosine	HMDB0000033	Down	Histidine metabolism
C00388	Histamine	Histamine	HMDB0000870	Down	Histidine metabolism
C05127	1-Methylhistamine	1-Methylhistamine	HMDB0000898	Down	Histidine metabolism
C05135	4-(beta-Acetylaminoethyl)imidazole	N-Acetylhistamine	HMDB0013253	Down	Histidine metabolism
C00079	Phe	Phenylalanine	HMDB0000159	Up	Phenylalanine biosynthesis and metabolism
C00082	Tyr	L-Tyrosine	HMDB0000158	Up	Phenylalanine biosynthesis and metabolism
C05629	3-Phenylpropionate	Hydrocinnamic acid	HMDB0000764	Up	Phenylalanine biosynthesis and metabolism
C00612	N1-Acetylspermidine	N1-Acetylspermidine	HMDB0001276	Down	Polyamine metabolism
C01029	N8-Acetylspermidine	N8-Acetylspermidine	HMDB0002189	Down	Polyamine metabolism
C02714	N-Acetylputrescine	N-Acetylputrescine	HMDB0002064	Down	Polyamine metabolism
C03413	N1,N12-Diacetylspermine	N1,N12-Diacetylspermine	HMDB0002172	Down	Polyamine metabolism
CselfName	N1,N8-Diacetylspermidine	N1,N8-Diacetylspermidine	HMDB0041947	Down	Polyamine metabolism
C00047	Lys	Lysine	HMDB0000182	Up	Lysine degradation
C00489	Glutarate	Glutaric acid	HMDB0000661	Up	Lysine degradation
C03793	N6,N6,N6-Trimethyllysine	N6,N6,N6-Trimethyl-L-lysine	HMDB0001325	Down	Protein lysine degradation
C16741	5-Hydroxylysine	5-Hydroxylysine	HMDB0000450	Down	Protein lysine degradation
C00019	SAM+	S-Adenosylmethionine	HMDB0001185	Down	Methionine metabolism
C00170	5-Methylthioadenosine	5-Methylthioadenosine	HMDB0001173	Down	Methionine metabolism
C00263	Homoserine	L-Homoserine	HMDB0000719	Down	Methionine metabolism
C00986	1,3-Diaminopropane	1,3-Diaminopropane	HMDB0000002	Down	Methionine metabolism
C01234	1-Aminocyclopropane-1-carboxylate	1-Aminocyclopropanecarboxylic acid	HMDB0036458	Down	Methionine metabolism
C00123	Leu	Leucine	HMDB0000687	Up	Valine, leucine and isoleucine degradation
C00183	Val	L-Valine	HMDB0000883	Up	Valine, leucine and isoleucine degradation
C00630	Isobutyryl CoA	Isobutyryl-CoA	HMDB0001243	Down	Valine, leucine and isoleucine degradation
C01015	Hydroxyproline	NA	HMDB0000725	Down	Proline metabolism
C01046	N-Methylglutamate	N-methyl-L-glutamic Acid	HMDB0062660	Down	Glutamate metabolism
C01425	Glu-Glu	Glutamylglutamic acid	HMDB0028818	Up	Glutamate metabolism
C00334	GABA	gamma-Aminobutyric acid	HMDB0000112	Down	Neurotransmitter
C01996	Acetylcholine	Acetylcholine	HMDB0000895	Down	Neurotransmitter
C00130	IMP	Inosinic acid	HMDB0000175	Up	Purine metabolism
C00212	Adenosine	Adenosine	HMDB0000050	Down	Purine metabolism
C00242	Guanine	Guanine	HMDB0000132	Down	Purine metabolism
C00943	cIMP	NA	HMDB0011680	Down	Purine metabolism
C02242	7-Methylguanine	7-Methylguanine	HMDB0000897	Down	Purine metabolism
C00475	Cytidine	Cytidine	HMDB0000089	Down	Pyrimidine metabolism
C00250	Pyridoxal	Pyridoxal	HMDB0001545	Up	Vitamins biosynthesis
C05771	Isopropanolamine	1-Amino-propan-2-ol	HMDB0012136	Down	Cobalamin biosynthesis
C02571	o-Acetylcarnitine	L-Acetylcarnitine	HMDB0000201	Up	Fatty acid oxidation
C20793	2-Hydroxyoctanoate	NA	HMDB0000711	Down	Fatty acid oxidation
C00245	Taurine	Taurine	HMDB0000251	Down	Primary bile acid biosynthesis
C00695	Cholate	Cholic acid	HMDB0000619	Down	Primary bile acid biosynthesis
C02713	N-Acetylmuramate	N-Acetylmuramate	HMDB0060493	Down	Others
C00024	Acetyl CoA	Acetyl-CoA	HMDB0001206	Down	Acetyl_CoA pathway
