Species	Phylum	Family	Genus	Species	Level Last	Isolation	Oxygen	Spore	Motile	Gram
Acetanaerobacterium elongatum	Bacillota	Oscillospiraceae	Acetanaerobacterium	Acetanaerobacterium elongatum	Secondary degrader	Environment	mesophilic anaerobic 	non-spore-forming	non-motile	Gram-positive
Adlercreutzia equolifaciens	Actinomycetota	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens	Equol-producing bacterium	Intestine	obligately anaerobic	non-spore-forming	non-motile	Gram-positive
Alistipes finegoldii	Bacteroidota	Rikenellaceae	Alistipes	Alistipes finegoldii	Secondary degrader	Clinical	strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Alistipes onderdonkii	Bacteroidota	Rikenellaceae	Alistipes	Alistipes onderdonkii	Secondary degrader	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Alistipes putredinis	Bacteroidota	Rikenellaceae	Alistipes	Alistipes putredinis	Asaccharolytic bacterium	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Alistipes shahii	Bacteroidota	Rikenellaceae	Alistipes	Alistipes shahii	Secondary degrader	Intestine	strictly anaerobic	non-spore-forming	non-motile	Gram-negative
Alistipes timonensis	Bacteroidota	Rikenellaceae	Alistipes	Alistipes timonensis	Asaccharolytic bacterium	Intestine	anaerobic	non-spore-forming	non-motile	Gram-negative
Alkaliphilus halophilus	Bacillota	Clostridiaceae	Alkaliphilus	Alkaliphilus halophilus	Secondary degrader	Environment	Strictly anaerobic	non-spore-forming	motile	Gram-positive
Alloprevotella rava	Bacteroidota	Prevotellaceae	Alloprevotella	Alloprevotella rava	Secondary degrader	Oral	obligately anaerobic		non-motile	Gram-negative
Anaerobacterium chartisolvens	Bacillota	Oscillospiraceae	Anaerobacterium	Anaerobacterium chartisolvens	Primary degrader	Environment	strictly anaerobic	non-spore-forming	motile	Gram-positive
Anaerofilum agile	Bacillota	Oscillospiraceae	Anaerofilum	Anaerofilum agile	Secondary degrader	Environment	Strictly anaerobic	spore-forming	motile	Gram-positive
Anaerofilum pentosovorans	Bacillota	Oscillospiraceae	Anaerofilum	Anaerofilum pentosovorans	Secondary degrader	Environment	Strictly anaerobic	spore-forming	non-motile	Gram-positive
Anaerofustis stercorihominis	Bacillota	Eubacteriaceae	Anaerofustis	Anaerofustis stercorihominis	Secondary degrader	Intestine	strictly anaerobic	non-spore-forming	-	Gram-positive
