ID	Name	Description	Mark	Path	Category	Note
K01745	hutH	histidine ammonia-lyase	___+	Histidine metabolism	Amino acid metabolism	
K01468	hutI	imidazolonepropionase	___+	Histidine metabolism	Amino acid metabolism	
K13990	FTCD	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase	_+++	Histidine metabolism	Amino acid metabolism	
K01666	mhpE	4-hydroxy 2-oxovalerate aldolase	_---	Phenylalanine biosynthesis and metabolism	Amino acid metabolism	
K10797	enr	2-enoate reductase	___+	Phenylalanine biosynthesis and metabolism	Amino acid metabolism	
K01667	tnaA	tryptophanase	_-_+	Tryptophan metabolism	Amino acid metabolism	
K07130	kynB	arylformamidase	___+	Tryptophan metabolism	Amino acid metabolism	
K01657	trpE	anthranilate synthase component I	___-	Tryptophan biosynthesis	Amino acid metabolism	
K01695	trpA	tryptophan synthase alpha chain	___-	Tryptophan biosynthesis	Amino acid metabolism	
K01696	trpB	tryptophan synthase beta chain	___-	Tryptophan biosynthesis	Amino acid metabolism	
K00766	trpD	anthranilate phosphoribosyltransferase	-__-	Tryptophan biosynthesis	Amino acid metabolism	
K08968	msrC	L-methionine (R)-S-oxide reductase	+_++	Methionine metabolism	Amino acid metabolism	
K12960	mtaD	5-methylthioadenosine/S-adenosylhomocysteine deaminase	___+	Methionine metabolism	Amino acid metabolism	
K00899	mtnK	5-methylthioribose kinase	__++	Methionine metabolism	Amino acid metabolism	
K02052	ABC.SP.A	putative spermidine/putrescine transport system ATP-binding protein	___+	Polyamine metabolism	Amino acid metabolism	
K02055	ABC.SP.S	putative spermidine/putrescine transport system substrate-binding protein	___+	Polyamine metabolism	Amino acid metabolism	
K01966	PCCB	propionyl-CoA carboxylase beta chain	___+	Valine, leucine and isoleucine degradation	Amino acid metabolism	
K00248	ACADS	butyryl-CoA dehydrogenase	___+	Valine, leucine and isoleucine degradation	Amino acid metabolism	
K11381	bkdA	2-oxoisovalerate dehydrogenase E1 component	___+	Valine, leucine and isoleucine degradation	Amino acid metabolism	
K00140	mmsA	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	+_++	Valine, leucine and isoleucine degradation	Amino acid metabolism	
K00020	HIBADH	3-hydroxyisobutyrate dehydrogenase	_+_+	Valine, leucine and isoleucine degradation	Amino acid metabolism	
K00053	ilvC	ketol-acid reductoisomerase	_--_	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism	
K01652	E2.2.1.6L	acetolactate synthase I/II/III large subunit	__-_	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism	
K01703	leuC	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	-_--	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism	
K01844	kamD	"beta-lysine 5,6-aminomutase alpha subunit"	__++	Lysine degradation	Amino acid metabolism	
K18011	kamE	"beta-lysine 5,6-aminomutase beta subunit"	__++	Lysine degradation	Amino acid metabolism	
K18012	kdd	"L-erythro-3,5-diaminohexanoate dehydrogenase"	__++	Lysine degradation	Amino acid metabolism	
K01035	atoA	acetate CoA/acetoacetate CoA-transferase beta subunit	__++	Lysine degradation	Amino acid metabolism	
K01843	kamA	"lysine 2,3-aminomutase"	___+	Lysine degradation	Amino acid metabolism	
K18014	kal	3-aminobutyryl-CoA ammonia-lyase	___+	Lysine degradation	Amino acid metabolism	
K01034	atoD	acetate CoA/acetoacetate CoA-transferase alpha subunit	__++	Lysine degradation	Amino acid metabolism	
K18013	kce	3-keto-5-aminohexanoate cleavage enzyme	___+	Lysine degradation	Amino acid metabolism	
K01714	dapA	4-hydroxy-tetrahydrodipicolinate synthase	__-_	Lysine biosynthesis	Amino acid metabolism	
K05825	LYSN	2-aminoadipate transaminase	_-_+	Lysine biosynthesis	Amino acid metabolism	
K00928	lysC	aspartate kinase	_-_+	Lysine biosynthesis	Amino acid metabolism	
K01586	lysA	diaminopimelate decarboxylase	--_-	Lysine biosynthesis	Amino acid metabolism	
K09123	lhpI	cis-L-3-hydroxyproline dehydratase	___+	Proline metabolism	Amino acid metabolism	
K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase	+_++	Proline metabolism	Amino acid metabolism	
K10793	prdA	D-proline reductase (dithiol) PrdA	_+_+	Proline metabolism	Amino acid metabolism	
K01259	pip	proline iminopeptidase	+__+	Proline metabolism	Amino acid metabolism	
K00283	gcvPB	glycine dehydrogenase subunit 2	_+_+	Glycine metabolism	Amino acid metabolism	
K00605	gcvT	aminomethyltransferase	__++	Glycine metabolism	Amino acid metabolism	
